,Price,Location,Bedrooms(s),Property Type
1529,"₦ 7,000,000/year",River Park Estate Lugbe Abuja,4,Semi Detached Duplex
1530,"₦ 2,500,000/year",Aso Estate Lugbe Lugbe Abuja,2,Sharp Block Of Flats
1531,"₦ 3,500,000/year",Nut Axis Lugbe Abuja,2,Newly Built Flat
1532,"₦ 3,000,000/year",Behind Dunamis Glory Dome Church Sabon Lugbe Lugbe Abuja,2,Newly Built Block Of Flats
1533,"₦ 2,000,000/year",Fha Lugbe Lugbe Abuja,2,Sharp Apartment
1534,"₦ 2,500,000/year",Nut Axis Lugbe Abuja,1,Block Of Flat
1535,"₦ 6,000,000/year",Al9ng Von Garden Estate Road Lugbe Abuja,4,Duplex
1536,"₦ 7,000,000/year",Nut Axis Lugbe Lugbe Abuja,4,Newly Built Duplex
1537,"₦ 5,000,000/year",Kyc Estate Lugbe Abuja,4,Newly Built Detached Duplex
1538,"₦ 1,900,000/year",Pyakasa Lugbe Lugbe Abuja,1,Sharp Apartment
1539,"₦ 2,500,000/year","Newly Site Estate, Lugbe Abuja",2,Sharp Block Of Flats
1540,"₦ 6,000,000/year","Nut Axis, Lugbe Abuja",3,Newly Built Semi Detached Duplex
1541,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1542,"₦ 1,100,000,000",By Coza Church Guzape Abuja,6,Detached Duplex With Basement
1543,"₦ 3,000,000/year",Behind Trends Place Hotel Lugbe Abuja,2,Block Of Flats
1544,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1545,"₦ 1,200,000/year",Pyakasa Lugbe Lugbe Abuja,,Self Contain Apartment
1546,"₦ 1,800,000/year",Kapua Lugbe Lugbe Abuja,1,Newly Built Block Of Flats
1547,"₦ 900,000/year",Samaglobal Estate Lugbe Abuja,,Newly Built Self Contain Apartment
1548,"₦ 1,000,000/year",Pyakasa Lugbe Lugbe Abuja,,Newly Built Self Contain Apartment
1549,"₦ 6,000,000/year",River Park Estate Lugbe Abuja,4,Semi Detached Duplex
1550,"₦ 900,000/year",Fha Axis Lugbe Lugbe Abuja,,Room Self Contain Apartment
1551,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1552,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Newly Built Terrace Duplex
1553,"₦ 7,000,000/year",Along Von Garden Estate Road Lugbe Abuja,4,Brand New Detached Duplex
1554,"₦ 4,000,000/year",Along Von Garden Estate Road Lugbe Abuja,2,Sharp Apartment
1555,"₦ 7,000,000/year",Along Von Garden Estate Road Lugbe Abuja,4,Newly Built Fully Detached Duplex
1556,"₦ 13,000,000/year",Life Camp Abuja Life Camp Abuja,4,Terrace Duplex
1557,"₦ 1,000,000/year",Fha Lugbe Lugbe Abuja,,Newly Built Self Contain Apartment
1558,"₦ 1,000,000/year",Fha Lugbe Lugbe Abuja,,Newly Built Self Contain Apartment
1559,"₦ 4,000,000/year",Along Von Garden Estate Road Lugbe Abuja,2,Newly Built Block Of Flats
1560,"₦ 3,500,000/year",Aco Estate Lugbe Abuja,3,Sharp Duplex
1561,"₦ 2,200,000/year",Fha Lugbe Lugbe Abuja,,Newly Built Shop (plaza)
1562,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1563,"₦ 93,000,000",Ajah Lekki Lagos,4,Newly Built Fully Detached Duplex
1564,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1565,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Sharp Terrace Duplex
1566,"₦ 5,000,000/year",Nut Axis Lugbe Abuja,4,Penthouse Duplex
1567,"₦ 7,000,000/year",Nut Axis/von Road Lugbe Abuja,4,Newly Built Semi Detached Duplex
1568,"₦ 9,000,000/year",Along Von Garden Estate Road Lugbe Abuja,4,Well Finished Penthouse With 2 Bqs
1569,"₦ 9,000,000/year",River Park Estate Lugbe Abuja,4,Luxury Terrace Duplex
1570,"₦ 2,000,000/year",Kapua Lugbe Lugbe Abuja,1,Sharp Apartments
1571,"₦ 8,000,000/year",Nut Axis Behind Shafa Filling Station Lugbe Abuja,4,Detached Duplex (partly Furnished)
1572,"₦ 2,250,000/year",Fha Lugbe Lugbe Abuja,2,Block Of Flats
1573,"₦ 4,000,000/year",Along Von Garden Estate Road Lugbe Abuja,2,Newly Built Apartment
1574,"₦ 2,000,000/year",Along Von Garden Estate Road Lugbe Abuja,1,Newly Built Apartment
1575,"₦ 6,000,000/year",Seaman Estate Lugbe Abuja,4,Luxury Newly Built Terrace Duplex
1576,"₦ 5,000,000/year",Along Von Garden Estate Road Lugbe Abuja,4,Smart Terrace Duplex
1577,"₦ 56,000,000",Maitama Abuja,,Office Space For Rent
1578,"₦ 3,033,000",Jabi Abuja,,Premium Modern Office Space For Rent
1579,"₦ 3,000,000",Lugbe Abuja,2,", And Selfcon"
1580,"₦ 8,000,000",Jahi Abuja,3,3bedroom Flats In Jahi
1581,"₦ 40,000,000",Maitama Abuja,,Fully Furnished Flat
1582,"₦ 35,000,000",Katampe Extension Katampe Abuja,6,Newly Built Detached Duplex
1583,"₦ 27,200,000",Maitama Abuja,,Office Space For Rent
1584,"₦ 200,000,000",Opposite British American Tobacco Ibadan Oyo,2,2 Acres Of Industrial Land
1585,"₦ 8,000,000",Wuse 1 Abuja,3,Revamped 3bedroom Flat
1586,"₦ 20,000,000",Idu Abuja,,Corporate Rent Idu
1587,"₦ 3,600,000",Jabi Abuja,,Office Space Available For Lease
1588,"₦ 2,400,000",Kafe Abuja,1,Bq Available For Rent
1589,"₦ 12,000,000",Wuye Abuja,3,3bedroom Terrace Duplex With Bq
1590,"₦ 13,000,000/year",Jabi Abuja,,Warehouse
1591,"₦ 6,000,000",Jabi Abuja,2,Flat In Jabi
1592,"₦ 7,000,000",Maitama Abuja,2,Flat In Maitama
1593,"₦ 17,000,000/year",Guzape Districts Guzape Abuja,4,Newly Built Terrace Duplex With Bq
1594,"₦ 15,000,000/year",Jahi Gilmor District Jahi Abuja,4,Newly Built Terrace Duplex
1595,"₦ 12,000,000/year",Jahi Abuja,4,Terrace Duplex With Bq
1596,"₦ 12,000,000/year",Katampe Main Katampe Main Abuja,4,Apartment With Bq
1597,"₦ 8,000,000/year",Jabi Jabi Abuja,100,100 Sqm Office Space
1598,"₦ 42,000,000/year",Jahi Abuja,600,600sqm Office Space
1599,"₦ 6,000,000/year",Katampe Main Abuja,,Office Space
1600,"₦ 5,000,000/year",Central Business District Central Business District Abuja,,Office Space
1601,"₦ 12,000,000/year",Katampe Main Abuja,4,Terraced Duplex With Bq
1602,"₦ 45,000,000/year",Jahi Abuja,600,600sqm Office Space
1603,"₦ 7,000,000/year",No 9 Samuel O. Oladele Crescent Katampe Main Abuja,2,Luxury Townhome
1604,"₦ 5,500,000/year",Central Business District Abuja,,Furnished Office Space
1605,"₦ 600,000,000",Omole Phase 1 Ikeja Lagos Ikeja Lagos,10,Brand New Smart Home With Parking For 10 Cars In Omole
1606,"₦ 5,000,000/year",Central Business District Central Business District Abuja,,Office Space
1607,"₦ 14,000,000/year",Life Camp Abuja,4,Newly Built Terrace Duplex With Bq
1608,"₦ 5,000,000/year",Gwarinpa Abuja,,Shop Space
1609,"₦ 16,000,000/year",Jahi District Jahi Abuja,4,Semi Detached Duplex
1610,"₦ 2,000,000/year",Business District Central Business District Abuja,,Mini Office
1611,"₦ 25,000,000/year","Maitama Disctrict, Maitama Abuja",5,5 Units Of Newly Built Terraced Duplex
1612,"₦ 50,000,000",Wuse District Wuse 2 Abuja,200,200sqm Shop Space
1613,"₦ 10,000,000",Jabi Jabi Abuja,,Newly Built Office Space
1614,"₦ 15,000,000/year","Jahi Gilmor District, Jahi Abuja",4,Terraced Duplex With Bq
1615,"₦ 9,000,000/year",Gilmore Jahi Abuja,3,Apartment
1616,"₦ 12,000,000/year",Katampe Extension Katampe Abuja,4,Fully Serviced Semi Detached Duplex Plus Bq
1617,"₦ 25,000,000/year",Maitama Abuja,2,Apartments
1618,"₦ 10,000,000/year",By Galadimawa Roundabout Galadimawa Abuja,4,Newly Built Terrace Duplex With Bq
1619,"₦ 6,000,000/year",Stella Maris Garki 1 Abuja,3,Newly Built Flat
1620,"₦ 13,000,000/year",Life Camp Abuja,5,Newly Built Terrace Duplex
1621,"₦ 5,000,000/year",Opp River Park Lugbe Abuja,3,Luxury Finished s
1622,"₦ 5,000,000/year",Lake Jabi Abuja,2,Serviced s
1623,"₦ 9,000,000/year",Gilmore Jahi Abuja,3,Brand New Luxury Finished s With Bq
1624,"₦ 100,000,000/year",Asokoro Abuja,5,Detached Duplex With Bq
1625,"₦ 20,000,000/year",Opp Maitama By Cosgrove Katampe Main Abuja,5,Brand New Premium s With Bq
1626,"₦ 20,000,000/year",Ikate Lekki Lagos,4,Newly Built Terraced Duplex
1627,"₦ 250,000/sqm",Wuse 2 Abuja,127,127m² Office Space
1628,"₦ 5,500,000/year",River Park Estate Lugbe Abuja,3,Nicely Finished s
1629,"₦ 30,000,000/year",Utako Abuja,5,Premium s With Bq
1630,"₦ 12,000,000/year",Vio Mabushi Abuja,4,Brand New Luxury Finished s With Bq
1631,"₦ 100,000/sqm",Area 11 Garki 1 Abuja,,Brand New Office Space
1632,"₦ 25,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,3,Furnished Apartment
1633,"₦ 50,000,000/year",Main Maitama Abuja,5,A Well Finished s With 2 Bq
1634,"₦ 8,000,000/year",Galadimawa Abuja,3,Luxury Apartment
1635,"₦ 25,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,4,Brand New Luxury Finished s With Bq
1636,"₦ 2,300,000/year",Canaan Estate Life Camp Abuja,1,Nicely Finished
1637,"₦ 13,000,000/year",American International School Durumi Abuja,3,Newly Built Furnished s
1638,"₦ 3,000,000/year",Fo1 Kubwa Abuja,2,Cozy s
1639,"₦ 18,000,000/year",Utako Abuja,4,Terrace Duplex With Bq
1640,"₦ 9,000,000/year",Galadimawa Abuja,5,Newly Built Fully Detached Duplex With Bq
1641,"₦ 13,000,000/year",Galadimawa Abuja,5,Brand New Luxury Finished s With Bq
1642,"₦ 4,000,000/year",After Prince And Princess Kaura (games Village) Abuja,2,Brand New Spaciously Finished s
1643,"₦ 2,300,000/year",Railway Idu Abuja,2,Brand New Spacious s
1644,"₦ 12,000,000/year",Main Maitama Maitama Abuja,2,Flat
1645,"₦ 27,200,000/year",Main Maitama Maitama Abuja,,Modern Office Space Suitable For Various Purposes
1646,"₦ 7,000,000/year",Brookshore Estate Gwarinpa Abuja,4,Terrace Duplex
1647,"₦ 195,000,000",Vgc Vgc Lekki Lagos,300,"300 Sqms Land Selling @ Vgc, Lekki."
1648,"₦ 12,000,000/year",2nd Avenue Gwarinpa Abuja,4,Terrace Duplex With Bq
1649,"₦ 7,000,000/year",3rd Avenue Gwarinpa Abuja,,Shop
1650,"₦ 1,500,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained
1651,"₦ 15,000,000/year",Idu Industrial Idu Abuja,,A Spacious Warehouse
1652,"₦ 2,500,000",Off 3rd Avenue Gwarinpa Abuja,1,A Nice. Flat
1653,"₦ 6,000,000",Gwarimpa Main Gwarinpa Abuja,3,A Newly Built Flat
1654,"₦ 5,000,000",Off 3rd Avenue Gwarinpa Abuja,,A Classic Shop In A Mall
1655,"₦ 5,000,000",Gwarimpa Main Gwarinpa Abuja,,A Standard Shop Space
1656,"₦ 3,500,000","Karsana, Gwarimpa Extension Gwarinpa Abuja",1,A Brand New Luxury Flat (2 Toilets)
1657,"₦ 9,000,000",Gwarinpa Abuja,5,A Semi Detached Du
1658,"₦ 8,000,000/year",3rd Avenue Gwarinpa Abuja,,Restaurant
1659,"₦ 5,000,000/year",Gwarimpa Main Gwarinpa Abuja,,A Standard Well Located Shop Space
1660,"₦ 12,000,000/year",4th Avenue Gwarinpa Abuja,,Double Shop Space
1661,"₦ 12,000,000",3rd Avenue Gwarinpa Abuja,4,A Semi Detached Duplex With Bq
1662,"₦ 1,700,000/year","Efab Queens Estate, Gwarinpa Abuja",,A Room Self Contained
1663,"₦ 5,000,000",Gwarimpa Main Gwarinpa Abuja,2,A Newly Built Flat
1664,"₦ 15,000,000/year","6th Avenue, Gwarinpa Abuja",4,Fully Detached Duplex
1665,"₦ 1,500,000/year",6th Avenue Gwarinpa Abuja,,Room Self Contain
1666,"₦ 5,500,000/year",Brick N More Plaza Gwarinpa Abuja,,Shop Space
1667,"₦ 12,000,000/year",4th Avenue Main Road Gwarinpa Abuja,,Large Office
1668,"₦ 20,000,000/year",Ikate Lekki Lagos,4,Newly Built Terraced Duplex
1669,"₦ 9,500,000",Gana Street Maitama Abuja,2,A High Quality Flat
1670,"₦ 6,000,000/year",3rd Avenue Gwarinpa Abuja,,Newly Built Office/shop Space
1671,"₦ 15,000,000/year",Jahi Gilmore Jahi Abuja,4,Newly Built Terrace Duplex
1672,"₦ 1,400,000/year",6th Avenue Gwarinpa Abuja,,Studio Apartment
1673,"₦ 10,000,000",Dantata Estate Gwarimpa Gwarinpa Abuja,4,A Newly Built Terrace Duplex With Bq
1674,"₦ 12,000,000/year","2nd Avenue, Gwarinpa Abuja",4,Detached Duplex With Bq
1675,"₦ 5,000,000/year",3rd Avenue Gwarinpa Abuja,,New Shop In A Mall
1676,"₦ 4,000,000/year",6th Avenue Gwarinpa Abuja,,Ground Floor Shop Space
1677,"₦ 10,000,000/year",Gwarimpa Main Gwarinpa Abuja,,Shop Space
1678,"₦ 5,000,000/year","4th Avenue, Gwarinpa Abuja",,A Spacious Shop Space
1679,"₦ 1,500,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contain
1680,"₦ 1,600,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained
1681,"₦ 12,000,000",Off 4th Avenue Gwarinpa Abuja,,A Sizable Warehouse In Gwarimpa Main
1682,"₦ 18,000,000",Gwarimpa Main Gwarinpa Abuja,4,A Fully Detached Duplex With 3 Bq
1683,"₦ 1,700,000/year",Main Gwarinpa Abuja,,Room Self Contained
1684,"₦ 7,000,000/year",Wuse Zone 5 Wuse 1 Abuja,,A Hall Space
1685,"₦ 4,500,000/year",Gwarimpa Main Gwarinpa Abuja,3,Block Of Flat
1686,"₦ 9,000,000/year","Dantata Estate, 3rd Avenue Gwarinpa Abuja",4,A Very Spacious Terrace Duplex
1687,"₦ 3,500,000/year",Gwarimpa Main Gwarinpa Abuja,,A Large Shop/office Space (newly Built)
1688,"₦ 12,000,000/year",2nd Avenue Gwarinpa Abuja,4,Newly Built Standalone Duplex
1689,"₦ 1,100,000,000",By Coza Church Guzape Abuja,6,Detached Duplex With Basement
1690,"₦ 11,000,000/year",2nd Avenue Gwarinpa Abuja,4,Terrace Duplex With Bq
1691,"₦ 10,000,000/year",Katsina Estate After Godab Estate Life Camp Abuja,4,Detached Duplex
1692,"₦ 3,500,000/year",6th Avenue Gwarinpa Abuja,,Newly Built Shop Space
1693,"₦ 3,500,000/year",6th Avenue Gwarinpa Abuja,,Newly Built Shop Space
1694,"₦ 20,000,000",Off 1st Avenue Gwarinpa Abuja,5,A Fully Detached Duplex With Bq
1695,"₦ 15,000,000",Naf Valley Estate Asokoro Abuja,4,A Fully Detached Duplex
1696,"₦ 8,000,000/year",Estate Of 3rd Avenue Gwarinpa Abuja,3,Newly Built Terrace Duplex
1697,"₦ 7,000,000","Brookshore Estate, Karsana Gwarinpa Abuja",4,Standard Terraced Duplex
1698,"₦ 1,200,000/year","69 Road, 6th Avenue Gwarinpa Abuja",,Room Self Contain
1699,"₦ 20,000,000/year",Maitama Abuja,3,Flat
1700,"₦ 1,800,000,000/year",Asokoro Abuja,6,6 Units Of Apartments
1701,"₦ 3,000,000/year",Phase 2 Site 2 Kubwa Abuja,3,Detached Bungalow
1702,"₦ 80,000,000/year",Asokoro Asokoro Abuja,5,Fully Detached Duplex With Bq
1703,"₦ 10,000,000","By Nhls Estate, Arab Road. Kubwa Abuja",6,Newly Built Mansion With Penthouse
1704,"₦ 4,000,000/year",F01 Kubwa Abuja,2,Newly Built Flat
1705,"₦ 3,000,000/year",F01 By Military Pension Board Kubwa Abuja,,Two Bedroom Flat
1706,"₦ 3,000,000/year",F14 District Kubwa Abuja,2,Flat
1707,"₦ 3,500,000/year",F01 By Military Pension Board Kubwa Abuja,2,Flat
1708,"₦ 3,500,000/year","F14 District, Estate Kubwa Abuja",,"Two Bedroom Flat , Inside An Estate"
1709,"₦ 2,500,000/year",By Customs Quarters Kubwa Abuja,2,Newly Built Flat
1710,"₦ 750,000,000",Omole Phase 1 Ojodu Lagos,5,5bed Detached+ Bq
1711,"₦ 30,000,000/year",Main Asokoro Abuja,4,Detached Duplex With 2 Bq
1712,"₦ 4,000,000/year","Arab Road Behind Arab Market, Kubwa Abuja",3,Fully Detached Bungalow
1713,"₦ 20,000,000/year",Asokoro Abuja,4,Detached Duplex With 2 Bq
1714,"₦ 12,000,000/year",Katempe Extension Katampe Abuja,2,Serviced Apartment
1715,"₦ 2,700,000/year","Phase 2 Site 2, Kubwa Abuja",,Newly Built Shop Space
1716,"₦ 1,500,000/year",Arab Road By Gbazango Extension Kubwa Abuja,,Newly Built One Bedroom Apartment
1717,"₦ 6,000,000/year",F01 Main Tarred Road Kubwa Abuja,2,Beautiful Finished Flat
1718,"₦ 8,000,000/year",Estate By Nizamiye Hospital Idu Abuja,4,Newly Built Terrace Duplex With Bq
1719,"₦ 5,500,000/year",Jahi By Aduvie Jahi Abuja,,"Exquisitely Finished Two Bedroom Flat, Upstairs"
1720,"₦ 3,000,000/year","Phase 2 Site 2, By Navy Quarters Kubwa Abuja",3,"Bungalow, Alone In The Compound."
1721,"₦ 2,500,000/year","F01 By Military Pension Board , Estate Kubwa Abuja",2,Standard One Bedroom With 2 Toilets
1722,"₦ 10,000,000",Guzape Main Guzape Abuja,3,Spacious Flat
1723,"₦ 10,000,000",Guzape Main Guzape Abuja,3,Furnished Flat
1724,"₦ 9,000,000",Guzape Guzape Abuja,2,Terrace Duplex
1725,"₦ 700,000/year",Bypass Karshi Abuja,2,Flat
1726,"₦ 5,500,000",Wuye Wuye Abuja,3,Flat
1727,"₦ 8,000,000",Guzape Guzape Abuja,2,Clean Flat
1728,"₦ 2,000,000/year",New Site Lugbe Abuja,1,Luxury Flat
1729,"₦ 3,000,000/year",New Site Lugbe Abuja,2,Luxury Flat
1730,"₦ 6,000,000",Life Camp Life Camp Abuja,2,Terrace
1731,"₦ 100,000,000/year",Banana Island Ikoyi Lagos,5,Semi Detached Duplex
1732,"₦ 3,000,000",Life Camp Life Camp Abuja,1,Flat
1733,"₦ 2,500,000/year",F14 District Phase 4 Kubwa Kubwa Abuja,2,Flat
1734,"₦ 11,000,000",Mabushi Mabushi Abuja,3,Furnished Flat
1735,"₦ 18,000,000",Guzape Guzape Abuja,4,Clean Terrace Duplex
1736,"₦ 5,000,000",Life Camp Life Camp Abuja,2,Clean Flat
1737,"₦ 17,000,000",Guzape Guzape Abuja,4,Terrace Duplex
1738,"₦ 7,500,000/year",Guzape Abuja,2,Flat
1739,"₦ 3,500,000/year",Fo1 Layout Kubwa Abuja,2,Flat
1740,"₦ 13,000,000",Guzape Guzape Abuja,2,Furnished Flat
1741,"₦ 6,500,000",Idu Idu Abuja,4,Newly Built Terrace Duplex
1742,"₦ 2,500,000/year",Kubwa Abuja,,Shop In A Plaza
1743,"₦ 4,500,000",Life Camp Life Camp Abuja,3,Flat
1744,"₦ 5,000,000",Life Camp Life Camp Abuja,3,Clean Flat
1745,"₦ 12,000,000",Guzape Main Guzape Abuja,3,Clean Flat
1746,"₦ 35,000,000/year",Maitama Abuja,4,Duplex
1747,"₦ 10,000,000/year",Wuse 1 Abuja,3,Flat
1748,"₦ 13,500,000/year",Jahi Abuja,4,Blocks Of Flats
1749,"₦ 50,000,000/year",Asokoro Asokoro Abuja,5,Apartment
1750,"₦ 1,500,000/year",Garki 2 Abuja,,Shop
1751,"₦ 5,000,000/year",Wuse 2 Abuja,,Shop Space
1752,"₦ 220,000,000","Spar Road, Ikate Lekki Lagos",2,Luxury Apartment With Elevator
1753,"₦ 3,800,000/year",Wuse 2 Abuja,,Shop
1754,"₦ 800,000/year",Wuye Abuja,30,30sqm Office/shop Space
1755,"₦ 2,500,000/year",Gudu Apo Abuja,70,70sqm Official Space
1756,"₦ 5,700,000/year",Aminu Kano Wuse 2 Abuja,55,55sqm Ground Floor
1757,"₦ 1,900,000/year",Gudu Apo Abuja,,Serviced Office Space
1758,"₦ 15,000,000/year",Mabushi Abuja,,Office Space
1759,"₦ 5,000,000/year",Wuse 2 Abuja,,Office Space
1760,"₦ 30,000,000/year",Wuse 2 Abuja,,Shop Space
1761,"₦ 7,500,000/year",Wuse 2 Abuja,70,70sqm Ground Floor
1762,"₦ 7,100,000/year",Gudu Apo Abuja,173,Office Space Measuring 173sqm
1763,"₦ 13,500,000",Mabushi Abuja,4,Clean Terrace Duplex With A Bq
1764,"₦ 15,000,000",Mabushi Abuja,4,New Terrace Duplex With A Bq
1765,"₦ 12,000,000",Mabushi Abuja,4,Clean Terrace Duplex With A Bq
1766,"₦ 20,000,000/year",Katampe Abuja,4,Terrace Duplex With Bq
1767,"₦ 20,000,000/year",Katampe Abuja,4,Terrace Duplex With Bq
1768,"₦ 17,650,500/year",Wuse 2 Abuja,,Shop Space
1769,"₦ 8,000,000/year",Wuse 2 Abuja,,Shop Space
1770,"₦ 19,000,000/year",Wuse 2 Abuja,,Shop Space
1771,"₦ 30,000,000/year",Wuse 2 Abuja,4,Duplex With A Bq
1772,"₦ 65,000,000/year",Wuse 2 Abuja,357,357sqm Rooftop Lounge And Restaurant Space
1773,"₦ 1,400,000,000",Parkview Ikoyi Lagos Parkview Estate Ikoyi Lagos,5,Luxury Terrace House With Bq
1774,"₦ 13,000,000/year",Wuse 2 Abuja,60,60sqm Shop
1775,"₦ 28,000,000/year",Wuse 2 Abuja,4,Duplex
1776,"₦ 25,000,000/year",Wuse 2 Abuja,90,Shop Space Measuring 90sqm
1777,"₦ 10,500,000/year",Wuse 2 Abuja,,Shop
1778,"₦ 13,000,000/year",Wuse 2 Abuja,3,Serviced Apartment With Bq
1779,"₦ 12,000,000",Wuse 2 Abuja,50,50sqm Shop Space
1780,"₦ 35,000,000/year",Wuse 2 Abuja,3,Classy Flat
1781,"₦ 52,000,000/year",Wuse 2 Abuja,,Shop
1782,"₦ 9,000,000/year",Wuse 2 Abuja,3,Apartment
1783,"₦ 63,700,000/year",Wuse 2 Abuja,420,Room Measuring 420sqm
1784,"₦ 13,000,000/year",Wuse 2 Abuja,2,Apartment
1785,"₦ 65,000,000/year",Gwarinpa Abuja,500,500sqm Ground Floor Space
1786,"₦ 19,500,000/year",Wuse 2 Abuja,75,75sqm Ground Floor Space
1787,"₦ 15,500,000/year",Wuse 2 Abuja,2,Apartment With Bq
1788,"₦ 25,000,000",Wuse 2 Abuja,2,Classy Penthouse With Swimming Pool
1789,"₦ 12,500,000/year",Wuse 2 Abuja,45,45sqm Ground Floor Space
1790,"$ 70,000/year",Wuse 2 Abuja,3,Luxury Penthouse
1791,"₦ 10,000,000/year",Wuse 2 Abuja,3,s Office Apartment
1792,"₦ 123,500,000/year",Wuse 2 Abuja,,Open Floor Office Space
1793,"₦ 100,000,000/year",Wuse 2 Abuja,,Open Space
1794,"₦ 470,000,000",Ikota Lekki Phase 2 Lekki Lagos,5,Detached Duplex With Bq Pool
1795,"₦ 2,000,000/year",Garki 1 Abuja,,Suya Spot And Fish Spot
1796,"₦ 1,200,000/year",Garki 2 Abuja,,Room Self Contained
1797,"₦ 8,000,000",Katampe Main Abuja,3,Flat
1798,"₦ 1,400,000/year",Garki 1 Abuja,,Room Self Contained
1799,"₦ 4,500,000/year",Garki 1 Abuja,2,Clean Standard Flat
1800,"₦ 15,000,000/year",Garki 1 Abuja,,Big Garden
1801,"₦ 3,200,000/year",Garki 1 Abuja,2,Flat
1802,"₦ 5,000,000/year","F14 District, Kubwa Abuja",4,Semi Detached Duplex
1803,"₦ 15,000,000/year","Gilmore, Jahi Abuja",4,Newly Built Serviced Terraced Duplex With Bq
1804,"₦ 5,000,000/year",Guzape Abuja,,Office / Shop Space
1805,"₦ 15,000,000/year",Life Camp Abuja,4,Furnished Semi Detached Duplex
1806,"₦ 12,000,000/year",Mabushi Abuja,4,Terraced Duplex
1807,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex With Bq/Flat
1808,"₦ 2,000,000/year","Fo1, Kubwa Abuja",,Shop
1809,"₦ 180,000,000/year",Wuse 2 Abuja,6,Office / Residential 6 Units Of Flat With Bq
1810,"₦ 10,000,000/year",Mabushi Abuja,4,Terraced Duplex
1811,"₦ 13,000,000/year","Gilmore, Jahi Abuja",4,Terraced Duplex With Bq
1812,"₦ 13,000,000/year","Gilmore, Jahi Abuja",4,Terraced Duplex With Bq
1813,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex
1814,"₦ 1,800,000/year",Main Kubwa Abuja,2,Flat
1815,"₦ 3,500,000,000",Ikoyi Lagos,5,Fully Detached Duplex
1816,"₦ 8,000,000/year",Kado Abuja,3,Newly Built Flat
1817,"₦ 2,700,000/year","Fo1, Kubwa Abuja",1,Flat
1818,"₦ 8,000,000/year",Life Camp Abuja,4,Newly Built Duplex
1819,"₦ 5,000,000/year",Katampe Main Abuja,3,Flat
1820,"₦ 8,000,000/year",Gwarinpa Abuja,3,Newly Built Flat
1821,"₦ 10,500,000/year",Wuye Abuja,3,Newly Built Apartment
1822,"₦ 9,000,000/year",Mabushi Abuja,3,Newly Built Apartment
1823,"₦ 6,500,000/year",Kado Abuja,3,Newly Built Flat
1824,"₦ 3,500,000/year",Fo1 Kubwa Abuja,2,Newly Built Flat
1825,"₦ 3,500,000/year","Fo1, Kubwa Abuja",2,Modern Newly Built Apartment
1826,"₦ 700,000/year",Kubwa Abuja,,Office / Shop
1827,"₦ 7,000,000/year","Gilmore, Jahi Abuja",2,Newly Built Apartment
1828,"₦ 6,500,000/year","Fo1, Kubwa Abuja",4,Newly Built Semi Detached Duplex
1829,"₦ 5,000,000/year",Jahi Abuja,2,Newly Built Flat With Bq
1830,"₦ 5,500,000/year",Katampe Main Abuja,2,Newly Built Flat
1831,"₦ 2,500,000/year","Fo1, Kubwa Abuja",2,Flat
1832,"₦ 15,000,000/year",Jahi Abuja,4,Serviced Terraced Duplex With Bq
1833,"₦ 7,000,000/year",Jahi Abuja,3,Flat
1834,"₦ 25,000,000/year",Jabi Abuja,4,Serviced Semi Detached Duplex With Bq
1835,"₦ 2,500,000/year","F14, Kubwa Abuja",2,Flat
1836,"₦ 75,000,000",Ajah Lekki Lagos,2,Fully Furnished Semi Detached Bungalow
1837,"₦ 12,000,000/year","Gilmore, Jahi Abuja",4,Newly Built Terrace Duplex With Bq
1838,"₦ 5,000,000/year",Jahi Abuja,2,Residential / Office Flat
1839,"₦ 7,000,000/year",Katampe Main Abuja,3,Newly Built Apartment
1840,"₦ 500,000/year","Opposite Law School, District Bwari Abuja",,Room Self Contained
1841,"₦ 46,000,000/year","Idu Yard, Idu Abuja",1150,1150sqm Warehouse
1842,"₦ 15,000,000",Guzape Abuja,4,Detached Duplex
1843,"₦ 4,500,000/year",Lokogoma Abuja,3,Flat
1844,"₦ 7,000,000/year","Gilmore, Jahi Abuja",3,Serviced Flat
1845,"₦ 16,000,000/year","Gilmore, Jahi Abuja",5,Terraced Duplex With Bq
1846,"₦ 6,000,000/year",Katampe Main Abuja,2,Flat
1847,"₦ 20,000,000/year",Wuye Abuja,4,Newly Built Terraced Duplex
1848,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex
