Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
mini flat (room and parlour),"₦8,500,000","Highgate Apartments, Wuye, Abuja",1,Apartment,"₦8,500,000.00","8,500,000.00",Wuye
detached bungalow,"₦25,000,000","Asokoro District, Abuja",3,Bungalow,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦40,000,000","Guzape District, Abuja",6,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦6,500,000","Life Camp, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Life Camp
semi-detached duplex,"₦15,000,000","Near Nizameya / Turkish Hospital, Idu Industrial, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Idu
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,000,000","Games Village, Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
flat / apartment,"₦6,000,000","News Engineering Axis, Dawaki, Gwarinpa, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Gwarinpa
flat / apartment,"₦40,000,000","Maitama District, Abuja",3,Apartment,"₦40,000,000.00","40,000,000.00",Maitama
detached bungalow,"₦30,000,000","Garki, Abuja",2,Bungalow,"₦30,000,000.00","30,000,000.00",Garki
flat / apartment,"₦18,000,000","Wuye, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Wuye
semi-detached duplex,"₦75,000,000","Jabi, Abuja",5,Duplex,"₦75,000,000.00","75,000,000.00",Jabi
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
mini flat (room and parlour),"₦2,200,000","By Apo Primary School, Apo, Abuja",1,Apartment,"₦2,200,000.00","2,200,000.00",Apo
detached duplex,"₦40,000,000","Guzape District, Abuja",6,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
detached duplex,"₦60,000,000","Guzape District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Guzape
flat / apartment,"₦17,500,000","Mabushi, Abuja",2,Apartment,"₦17,500,000.00","17,500,000.00",Mabushi
detached duplex,"₦35,000,000","Guzape District, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Guzape
terraced duplex,"₦35,000,000","Diplomatic Zone, Maitama District, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Maitama
terraced duplex,"₦15,000,000","Guzape District, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦4,000,000","Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
terraced duplex,"₦25,000,000","Diplomatic Zone, Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦800,000,000","Maitama District, Abuja",4,Duplex,"₦800,000,000.00","800,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦25,000,000","Great Serenity, Katampe Extension, Katampe, Abuja",3,Apartment,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦2,500,000","Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦3,000,000","Dawaki District, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦3,500,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Gwarinpa
detached duplex,"₦45,000,000","Utako, Abuja",6,Duplex,"₦45,000,000.00","45,000,000.00",Utako
flat / apartment,"₦17,000,000","Wuse 2, Abuja",2,Apartment,"₦17,000,000.00","17,000,000.00",Wuse
flat / apartment,"₦4,500,000","Wuye, Abuja",1,Apartment,"₦4,500,000.00","4,500,000.00",Wuye
flat / apartment,"₦12,000,000","Jahi, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
terraced duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"₦180,000,000","Maitama District, Abuja",3,Apartment,"₦180,000,000.00","180,000,000.00",Maitama
terraced duplex,"₦7,000,000","Lokogoma District, Abuja",3,Duplex,"₦7,000,000.00","7,000,000.00",Lokogoma
terraced duplex,"$40,000","Wuse 2, Abuja",4,Duplex,"₦54,198,800.00","54,198,800.00",Wuse
detached duplex,"₦150,000,000","Aso Drive, Maitama District, Abuja",5,Duplex,"₦150,000,000.00","150,000,000.00",Maitama
detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Wuye
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦7,500,000","Zone 4, Wuse, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Wuse
terraced duplex,"₦18,000,000","Patrick Yakowa, Katampe Extension, Katampe, Abuja",5,Duplex,"₦18,000,000.00","18,000,000.00",Katampe
detached bungalow,"₦95,000,000","Lokogoma District, Abuja",2,Bungalow,"₦95,000,000.00","95,000,000.00",Lokogoma
terraced duplex,"₦45,000,000","Guzape District, Abuja",5,Duplex,"₦45,000,000.00","45,000,000.00",Guzape
terraced duplex,"₦15,000,000","Off Jahi/katampe Road, Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
terraced duplex,"₦6,500,000","Sunnyvale Estate 2, Lokogoma District, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Lokogoma
mini flat (room and parlour),"₦4,000,000","Wuse 2, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Wuse
terraced duplex,"₦15,000,000","Gwarinpa, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
flat / apartment,"₦6,000,000","Close To Magistrate Court, Life Camp, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Life Camp
semi-detached duplex,"₦15,000,000","Main Wuye, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦4,500,000","Gwarinpa Extension By Efab Metropolis, Gwarinpa, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
flat / apartment,"₦6,000,000","Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
terraced duplex,"₦14,000,000","Kado, Abuja",4,Duplex,"₦14,000,000.00","14,000,000.00",Kado
flat / apartment,"₦7,000,000","Utako, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Utako
terraced duplex,"₦6,500,000","Life Camp, Abuja",4,Duplex,"₦6,500,000.00","6,500,000.00",Life Camp
flat / apartment,"₦2,500,000","Dawaki District, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦18,000,000","Zone 6, Wuse, Abuja",3,Apartment,"₦18,000,000.00","18,000,000.00",Wuse
flat / apartment,"₦7,000,000","Games Village, Kaura, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Kaura
flat / apartment,"₦5,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Katampe
flat / apartment,"₦4,000,000","Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
flat / apartment,"₦170,000,000","By Rita Lori, Garki, Abuja",3,Apartment,"₦170,000,000.00","170,000,000.00",Garki
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦6,000,000","By Games Village Estate, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
detached duplex,"₦20,000,000","Gilmor, Jahi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jahi
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦5,000,000","Godab Axis, Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
terraced duplex,"₦12,000,000","After Coza Church, Guzape District, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Guzape
semi-detached duplex,"₦50,000,000","Wuse 2, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Wuse
terraced duplex,"₦6,000,000","Legislative Quarters, Apo, Abuja",2,Duplex,"₦6,000,000.00","6,000,000.00",Apo
flat / apartment,"₦15,000,000","Mabushi, Abuja",444,Apartment,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦5,500,000","Life Camp, Abuja",2,Apartment,"₦5,500,000.00","5,500,000.00",Life Camp
flat / apartment,"₦35,000,000","Off Adetokunbo Ademola Crescent, Wuse 2, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Wuse
flat / apartment,"₦6,500,000","Jahi, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Jahi
flat / apartment,"₦10,000,000","Tarred Access Roads, Jahi, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦11,000,000","4, Johnson David, Area 1, Garki, Abuja",4,Duplex,"₦11,000,000.00","11,000,000.00",Garki
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
mini flat (room and parlour),"₦8,500,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦8,500,000.00","8,500,000.00",Katampe
terraced duplex,"₦20,000,000","Off Aguiyi Ironsi Road, Wuse 2, Abuja",3,Duplex,"₦20,000,000.00","20,000,000.00",Wuse
semi-detached duplex,"₦6,000,000","Orchacho Estate, Life Camp, Abuja",3,Duplex,"₦6,000,000.00","6,000,000.00",Life Camp
detached bungalow,"₦18,000,000","Kado Estate, Kado, Abuja",3,Bungalow,"₦18,000,000.00","18,000,000.00",Kado
flat / apartment,"₦5,000,000","Life Camp, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
flat / apartment,"₦6,000,000","Whyte Scape Apartment, Life Camp, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Life Camp
terraced duplex,"₦15,000,000","By Catholic Church, Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦6,500,000","Gwarinpa Extension, Gwarinpa, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Gwarinpa
terraced duplex,"₦40,000,000","Jabi, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Jabi
terraced duplex,"₦95,000,000","Jabi, Abuja",5,Duplex,"₦95,000,000.00","95,000,000.00",Jabi
terraced duplex,"₦35,000,000","Hill Top, Asokoro District, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Asokoro
flat / apartment,"₦8,000,000","Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦18,000,000","Wuse, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Wuse
terraced duplex,"₦60,000,000","Aso Drive, Maitama District, Abuja",4,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
mini flat (room and parlour),"₦3,500,000","46 Anthony Enahoro, Utako, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Utako
flat / apartment,"₦15,000,000","Ademola Adetokunbo, Wuse 2, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Wuse
flat / apartment,"₦4,500,000","River Park Estate, Lugbe District, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Lugbe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
detached duplex,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦2,500,000","Yellow Gate Arc, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦6,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Gwarinpa
terraced duplex,"₦15,000,000","By Capital Hub, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
terraced duplex,"₦25,000,000","Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
detached duplex,"₦25,000,000","Wuse 2, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuse
flat / apartment,"₦7,000,000","Oau Quarters, Maitama District, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Maitama
flat / apartment,"₦8,000,000","Guzape District, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Guzape
detached duplex,"₦25,000,000","Wuye, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuye
flat / apartment,"₦5,000,000","By American International School, Durumi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
flat / apartment,"₦8,000,000","By Gilmore, Jahi, Abuja",2,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦8,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
terraced duplex,"₦10,000,000","By Sun City Traffic Light, Kaura, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Kaura
semi-detached duplex,"₦8,500,000","Jabi, Abuja",4,Duplex,"₦8,500,000.00","8,500,000.00",Jabi
flat / apartment,"₦18,000,000","Wuse 2, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Wuse
terraced duplex,"₦7,000,000","Brains And Hammers, Life Camp, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Life Camp
semi-detached duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Apartment,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦4,500,000","News Engineering Dawaki, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
flat / apartment,"₦4,500,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
terraced duplex,"₦8,000,000","Dawaki, Gwarinpa, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Gwarinpa
flat / apartment,"₦2,500,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦6,500,000","Wuse, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Wuse
mini flat (room and parlour),"₦2,800,000","By Dantata Asba Estate, Life Camp, Abuja",1,Apartment,"₦2,800,000.00","2,800,000.00",Life Camp
flat / apartment,"₦5,000,000","Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
detached duplex,"₦35,000,000","Gwarinpa, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Gwarinpa
flat / apartment,"₦10,000,000","Mabushi, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Mabushi
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"₦9,000,000","Asokoro District, Abuja",1,Apartment,"₦9,000,000.00","9,000,000.00",Asokoro
mini flat (room and parlour),"₦2,500,000","Apo, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Apo
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦50,000,000","Lake Chad, Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
semi-detached duplex,"₦8,000,000","3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Gwarinpa
detached duplex,"₦30,000,000","Diplomatic Zone, Asokoro District, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
mini flat (room and parlour),"₦2,500,000","Zone 6, Wuse, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦5,000,000","Area 1, Garki, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Garki
flat / apartment,"₦6,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
terraced duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦15,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
detached duplex,"₦30,000,000","Linda Charlker, Asokoro District, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
terraced duplex,"₦7,000,000","Gwarinpa Extension, Gwarinpa, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Gwarinpa
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦15,000,000","Around Godab, Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
detached duplex,"₦35,000,000","Diplomatic Zone, Jabi, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Jabi
semi-detached duplex,"₦25,000,000","Diplomatic Zone, Wuse 2, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuse
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦10,000,000","By Lakechad(tarred Rd), Maitama District, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Maitama
detached duplex,"₦80,000,000","Wuse 2, Abuja",5,Duplex,"₦80,000,000.00","80,000,000.00",Wuse
flat / apartment,"₦6,000,000","Utako, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Utako
flat / apartment,"₦3,000,000","Life Camp, Abuja",1,Apartment,"₦3,000,000.00","3,000,000.00",Life Camp
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
flat / apartment,"₦4,000,000","Wuye, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Wuye
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦10,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
flat / apartment,"₦4,500,000","Kaura, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Kaura
terraced duplex,"₦10,000,000","Life Camp, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Life Camp
flat / apartment,"₦27,000,000","Wuye, Abuja",2,Apartment,"₦27,000,000.00","27,000,000.00",Wuye
semi-detached duplex,"₦12,000,000","By Cedarcrest, Apo, Abuja",5,Duplex,"₦12,000,000.00","12,000,000.00",Apo
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
terraced duplex,"₦7,000,000","Life Camp, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Maitama
flat / apartment,"₦12,000,000","Jahi, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
terraced duplex,"₦12,000,000","Mobil Fillings Station, Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
detached bungalow,"₦10,000,000","Guzape District, Abuja",3,Bungalow,"₦10,000,000.00","10,000,000.00",Guzape
terraced duplex,"₦15,000,000","Dantata Estate, Gwarinpa, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦10,000,000","W.f Kumuyi Street, Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
semi-detached duplex,"₦25,000,000","Wuse 2, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuse
terraced duplex,"₦15,000,000","Emadeb Filling Station, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,500,000","Area 1, Garki, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Garki
flat / apartment,"₦4,500,000","Games Village, Kaura, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Kaura
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
