,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
558,"₦ 25,000,000/year",Diplomatic Zone Guzape Abuja,4,Newly Built Fully Detached Mansion,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
559,"₦ 120,000,000/year",Diplomatic Zone Asokoro Abuja,5,5 Units Of Terrace Duplex,Duplex,Asokoro,"₦ 120,000,000","₦120,000,000.00",120000000.0
560,"₦ 25,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
561,"$ 37,000/year","Diplomatic Zone, Maitama Abuja",3,Flat,Apartment,Maitama,"$ 37,000","₦50,133,890.00",50133890.0
562,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
563,"₦ 17,000,000/year",Diplomatic Zone Guzape Abuja,4,Renovated Terrace Duplex With Bq,Duplex,Guzape,"₦ 17,000,000","₦17,000,000.00",17000000.0
564,"₦ 15,000,000/year","Asokoro Abuja Diplomatic Zone, Asokoro Abuja",4,Terraced Duplex With Bq,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
565,"₦ 13,000,000/year","Diplomatic Zone, Guzape Abuja",4,Renovated Terrace Duplex With Bq,Duplex,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
566,"$ 27,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,5,Terrace Duplex,Duplex,Guzape,"$ 27,000","₦36,584,190.00",36584190.0
567,"$ 30,000/year",Wuse 2 Abuja Diplomatic Zone Wuse 2 Abuja,4,Terrace Duplex,Duplex,Wuse,"$ 30,000","₦40,649,100.00",40649100.0
568,"₦ 12,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Newly Built Terrace Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
569,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
570,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
571,"$ 90,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,4,4 Units Of Fully Detached Duplex,Duplex,Maitama,"$ 90,000","₦121,947,300.00",121947300.0
572,"₦ 14,000,000/year",Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 14,000,000","₦14,000,000.00",14000000.0
573,"₦ 20,000,000/year",Katampe Extention Abuja Diplomatic Zone Katampe Abuja,4,Semi Detached Duplex,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
574,"₦ 130,000,000/year",Asokoro Main Diplomatic Zone Asokoro Abuja,7,Brand New Mansion With Swimming Pool,Duplex,Asokoro,"₦ 130,000,000","₦130,000,000.00",130000000.0
575,"₦ 90,000,000/year","Diplomatic Zone, Asokoro Abuja",7,Fully Detached Mansion,Duplex,Asokoro,"₦ 90,000,000","₦90,000,000.00",90000000.0
576,"₦ 2,500,000,000",Close To Nnpc Guzape Abuja,7,Distress 7units Of 5bedroom Terraces Duplexes +bq,Duplex,Guzape,"₦ 2,500,000,000","₦2,500,000,000.00",2500000000.0
577,"₦ 96,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space,,Wuse,"₦ 96,000,000","₦96,000,000.00",96000000.0
578,"₦ 100,000,000/year",Maitama Abuja,,Twin Duplex,Duplex,Maitama,"₦ 100,000,000","₦100,000,000.00",100000000.0
579,"₦ 10,000,000/year",Jabi Abuja,,Office Space,,Jabi,"₦ 10,000,000","₦10,000,000.00",10000000.0
580,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
581,"₦ 6,500,000/year",Wuye Abuja,2,Newly Built Flat,Apartment,Wuye,"₦ 6,500,000","₦6,500,000.00",6500000.0
583,"₦ 60,000/sqm",Idu Abuja,,Warehouse,,Idu,"₦ 60,000","₦60,000.00",60000.0
584,"₦ 240,000,000/year",Lokogoma Abuja,,Luxury House,,Lokogoma,"₦ 240,000,000","₦240,000,000.00",240000000.0
586,"₦ 2,325,000/year",Area 10 Garki 1 Abuja,,Shops/office Space,,Garki,"₦ 2,325,000","₦2,325,000.00",2325000.0
587,"₦ 48,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space,,Wuse,"₦ 48,000,000","₦48,000,000.00",48000000.0
588,"₦ 10,000,000/year",Around Vio Mabushi Abuja,4,Terrace Duplex,Duplex,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
591,"₦ 135,000,000/year",Maitama Abuja,,Commercial Building,,Maitama,"₦ 135,000,000","₦135,000,000.00",135000000.0
592,"₦ 60,000,000/year",Maitama Abuja,,Duplex,Duplex,Maitama,"₦ 60,000,000","₦60,000,000.00",60000000.0
593,"₦ 26,000,000/year","Gilmor At Jahi District, Jahi Abuja",4,Terraced Duplex,Duplex,Jahi,"₦ 26,000,000","₦26,000,000.00",26000000.0
594,"₦ 26,000,000/year","Gilmor, Jahi District Jahi Abuja",4,Terrace Duplex,Duplex,Jahi,"₦ 26,000,000","₦26,000,000.00",26000000.0
595,"₦ 13,000,000/year","Gilmore, Jahi Abuja",2,Furnished Block Of Flat,Apartment,Jahi,"₦ 13,000,000","₦13,000,000.00",13000000.0
596,"₦ 6,000,000/year",Gwarinpa Abuja,,Shop Space,,Gwarinpa,"₦ 6,000,000","₦6,000,000.00",6000000.0
598,"₦ 8,000,000/year",4th Avenue Gwarinpa Abuja,,Office Space,,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
599,"₦ 180,000,000/year",Maitama Abuja,,Duplex,Duplex,Maitama,"₦ 180,000,000","₦180,000,000.00",180000000.0
600,"₦ 130,000,000/year",Maitama Abuja,,Office Space/building For Rent,,Maitama,"₦ 130,000,000","₦130,000,000.00",130000000.0
601,"₦ 60,000/sqm",Idu Abuja,,Warehouse,,Idu,"₦ 60,000","₦60,000.00",60000.0
602,"₦ 192,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space,,Wuse,"₦ 192,000,000","₦192,000,000.00",192000000.0
603,"₦ 5,500,000/year",Citec Estate Jabi Jabi Abuja,,House,,Jabi,"₦ 5,500,000","₦5,500,000.00",5500000.0
604,"₦ 12,000,000/year","In Brochure Estate, Gwarinpa Abuja",4,Detached Duplex,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
605,"₦ 10,000,000/year",Guzape Main Guzape Abuja,4,Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
606,"₦ 135,000,000/year",Maitama Abuja,,Commercial Building,,Maitama,"₦ 135,000,000","₦135,000,000.00",135000000.0
607,"₦ 13,000,000/year",Gudu Expressway Gude Apo Abuja,,Garden,,Apo,"₦ 13,000,000","₦13,000,000.00",13000000.0
608,"₦ 6,000,000/year",Gwarinpa Abuja,,A Newly Built Plaza Shop Space,,Gwarinpa,"₦ 6,000,000","₦6,000,000.00",6000000.0
609,"₦ 20,866,000/year",Zone 6 Wuse 2 Abuja,,Commercial Space,,Wuse,"₦ 20,866,000","₦20,866,000.00",20866000.0
610,"₦ 4,500,000/year",Kaura (games Village) Abuja,3,Flat,Apartment,Kaura,"₦ 4,500,000","₦4,500,000.00",4500000.0
612,"₦ 7,000,000/year",Close To Sunnyvale Estate Lokogoma Abuja,4,Newly Built Semi Detached Duplex With Bq,Duplex,Lokogoma,"₦ 7,000,000","₦7,000,000.00",7000000.0
614,"₦ 12,000,000/year",Guzape Abuja,4,Newly Built Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
615,"₦ 22,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex,Duplex,Katampe,"₦ 22,000,000","₦22,000,000.00",22000000.0
616,"₦ 9,000,000/year","River Park Estate, Lugbe Abuja",4,Detached Duplex,Duplex,Lugbe,"₦ 9,000,000","₦9,000,000.00",9000000.0
617,"₦ 13,000,000/year",Mabushi Abuja,4,Newly Built Terrace Duplex,Duplex,Mabushi,"₦ 13,000,000","₦13,000,000.00",13000000.0
618,"₦ 120,000,000",Behind Capital Hub Mabushi Abuja,2,Newly Built Flat,Apartment,Mabushi,"₦ 120,000,000","₦120,000,000.00",120000000.0
619,"₦ 25,000,000/year","Maitama District, Fct Abuja. Maitama Abuja",4,Newly Built Terrace Duplex,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
620,"₦ 10,000,000/year",Mabushi District Fct Abuja Mabushi Abuja,3,Apartment Plus Bq,Apartment,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
621,"₦ 60,000,000/year","Area 11, Garki Fct Abuja. Area 11 Garki 1 Abuja",,Commercial Office Spaces,,Garki,"₦ 60,000,000","₦60,000,000.00",60000000.0
622,"₦ 15,000,000/year","Presidential Villa Estate, Asokoro District Fct Abuja Asokoro Abuja",2,Terrace Duplex Plus Bq,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
623,"₦ 9,000,000/year","Guzape District, Fct Abuja. Guzape Abuja",3,Flat,Apartment,Guzape,"₦ 9,000,000","₦9,000,000.00",9000000.0
624,"₦ 30,000,000/year",Jabi Abuja,4,Terraced Duplex,Duplex,Jabi,"₦ 30,000,000","₦30,000,000.00",30000000.0
625,"₦ 40,000,000/year",Guzape Guzape Abuja,4,Furnished Terrace Duplex,Duplex,Guzape,"₦ 40,000,000","₦40,000,000.00",40000000.0
626,"₦ 25,000,000/year",Maitama Maitama Abuja,2,Newly Built 2bedrooms Apartment With Elevator,Apartment,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
627,"₦ 10,000,000/year",Mabushi Abuja,2,Furnished Apartment,Apartment,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
628,"₦ 12,000,000/year",Maitama Abuja,2,Fully Furnished Flat,Apartment,Maitama,"₦ 12,000,000","₦12,000,000.00",12000000.0
629,"₦ 1,750,000/year",Gwarinpa Abuja,,A Well Finished Spacious Self Contain,,Gwarinpa,"₦ 1,750,000","₦1,750,000.00",1750000.0
630,"₦ 30,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex,Duplex,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
631,"₦ 150,000,000/year",Maitama Main Abuja Maitama Abuja,6,6 Flat Of Flat,Apartment,Maitama,"₦ 150,000,000","₦150,000,000.00",150000000.0
632,"₦ 18,000,000/year",Katampe Abuja,4,Terrace Duplex,Duplex,Katampe,"₦ 18,000,000","₦18,000,000.00",18000000.0
633,"₦ 4,500,000/year","3rd Avenue, Gwarinpa Abuja",,A Standard Shop Space,,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
634,"₦ 3,500,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Apartment,Apartment,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
635,"₦ 5,000,000/year",An Estate Off 3rd Avenue Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
636,"₦ 25,000,000/year",4th Avenue By The Road Gwarinpa Abuja,,Restaurant,,Gwarinpa,"₦ 25,000,000","₦25,000,000.00",25000000.0
637,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow,Bungalow,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
638,"₦ 12,000,000/year","Work And Housing Estate, Gwarinpa Abuja",4,A Newly Built Detached Duplex,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
640,"₦ 4,500,000/year",An Estate Off 3rd Avenue Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
641,"₦ 1,500,000/year",Efab Estate / Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
642,"₦ 1,500,000/year",69 Road Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
643,"₦ 3,500,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Apartment,Apartment,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
644,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow,Bungalow,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
645,"₦ 4,500,000/year","3rd Avenue, Gwarinpa Abuja",,A Standard Shop Space,,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
646,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow,Bungalow,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
647,"₦ 7,500,000/year",Off 3rd Avenue Gwarinpa Abuja,3,Block Of Flats,Apartment,Gwarinpa,"₦ 7,500,000","₦7,500,000.00",7500000.0
648,"₦ 6,000,000/year",By The Road Gwarinpa Abuja,,Space,,Gwarinpa,"₦ 6,000,000","₦6,000,000.00",6000000.0
649,"₦ 1,600,000/year",6th Avenue Gwarinpa Abuja,,Studio Apartment,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
650,"₦ 10,000,000/year",Ipent7 By Map Global Estate Gwarinpa Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Gwarinpa,"₦ 10,000,000","₦10,000,000.00",10000000.0
651,"₦ 8,000,000/year",Off 3rd Avenue Gwarinpa Abuja,4,Detached Duplex,Duplex,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
652,"₦ 12,000,000",4th Avenue Gwarinpa Abuja,,A Very Spacious Shop Space (ground Floor),,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
653,"₦ 3,500,000/year",After Marcus Poly Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
655,"₦ 4,000,000/year",Main Gwarinpa Abuja,2,Apartment,Apartment,Gwarinpa,"₦ 4,000,000","₦4,000,000.00",4000000.0
656,"₦ 15,000,000/year",Maitama Abuja,3,Apartment,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
657,"₦ 30,000,000/year",Guzape Abuja,5,Fully Detached Duplex,Duplex,Guzape,"₦ 30,000,000","₦30,000,000.00",30000000.0
661,"₦ 8,000,000/year",Estate Idu Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Idu,"₦ 8,000,000","₦8,000,000.00",8000000.0
666,"₦ 40,000,000/year",Maitama Maitama Abuja,3,Flat,Apartment,Maitama,"₦ 40,000,000","₦40,000,000.00",40000000.0
668,"₦ 35,000,000/year",Maitama Maitama Abuja,3,Flat,Apartment,Maitama,"₦ 35,000,000","₦35,000,000.00",35000000.0
670,"₦ 30,000,000/year",Asokoro Abuja,,Duplex,Duplex,Asokoro,"₦ 30,000,000","₦30,000,000.00",30000000.0
671,"₦ 15,000,000/year",Life Camp Life Camp Abuja,4,Newly Built Terrace Duplex,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
672,"₦ 3,000,000/year",Life Camp Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
673,"₦ 13,000,000/year",Life Camp Abuja,4,Terraced Duplex,Duplex,Life Camp,"₦ 13,000,000","₦13,000,000.00",13000000.0
674,"₦ 6,500,000/year",Life Camp Abuja,3,Newly Built Terrace Duplex,Duplex,Life Camp,"₦ 6,500,000","₦6,500,000.00",6500000.0
675,"₦ 6,500,000/year",Life Camp Abuja,3,Flat,Apartment,Life Camp,"₦ 6,500,000","₦6,500,000.00",6500000.0
676,"₦ 5,000,000/year",Life Camp Abuja,3,Spacious Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
677,"₦ 5,500,000/year",Life Camp Abuja,2,Newly Built Terrace Duplex,Duplex,Life Camp,"₦ 5,500,000","₦5,500,000.00",5500000.0
678,"₦ 13,000,000/year",Asokoro Abuja,4,Terrace Duplex,Duplex,Asokoro,"₦ 13,000,000","₦13,000,000.00",13000000.0
679,"₦ 5,000,000/year",Life Camp Abuja,3,Terraced Duplex,Duplex,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
680,"₦ 8,000,000",Idu Idu Abuja,5,Newly Built Duplex,Duplex,Idu,"₦ 8,000,000","₦8,000,000.00",8000000.0
682,"₦ 5,000,000/year",Life Camp Abuja,3,Newly Built Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
683,"₦ 2,300,000/year",Around Crd Lugbe Abuja,2,Newly Built Flat,Apartment,Lugbe,"₦ 2,300,000","₦2,300,000.00",2300000.0
684,"₦ 3,500,000",Life Camp Main Life Camp Abuja,,Shop / Office Space,,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
685,"₦ 15,000,000/year","Hortigraph Estate, Near Nizameya/turkish Hospital Idu Abuja",5,Furnished Semi Detached Duplex,Duplex,Idu,"₦ 15,000,000","₦15,000,000.00",15000000.0
686,"₦ 15,000,000/year",Mabushi Abuja,4,Newly Built Duplex,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
687,"₦ 13,000,000/year",Maitama Abuja,2,Furnished Flat,Apartment,Maitama,"₦ 13,000,000","₦13,000,000.00",13000000.0
688,"₦ 10,000,000/year",Mabushi Abuja,4,Cozy 4bedroom Terrace Duplex,Duplex,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
689,"$ 40,000/year",Jabi Abuja,4,Apartment,Apartment,Jabi,"$ 40,000","₦54,198,800.00",54198800.0
690,"$ 15,000/year",Lake Mall Jabi Abuja,,Newly Built & Furnished Apartments (all Inclusive),Apartment,Jabi,"$ 15,000","₦20,324,550.00",20324550.0
691,"₦ 2,400,000/year",Wuse 1 Abuja,45,45sqm Office Space,,Wuse,"₦ 2,400,000","₦2,400,000.00",2400000.0
692,"₦ 1,500,000",Garki 2 Abuja,40,40sqm Office/shop Space In Garki,,Garki,"₦ 1,500,000","₦1,500,000.00",1500000.0
693,"₦ 200,000,000/year",Close To Nnpc Guzape Abuja,24,Standard 24rooms Hotel+ Pallow,,Guzape,"₦ 200,000,000","₦200,000,000.00",200000000.0
694,"₦ 35,000,000/year",Katampe Extension Katampe Abuja,6,Clean Detached Duplex With A Bq,Duplex,Katampe,"₦ 35,000,000","₦35,000,000.00",35000000.0
695,"₦ 13,000,000/year",Jahi By Gilmore Jahi Abuja,4,Terrace Duplex,Duplex,Jahi,"₦ 13,000,000","₦13,000,000.00",13000000.0
696,"₦ 15,000,000/year",Wuse 2 Abuja,,Shop,,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
697,"₦ 55,300,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 55,300,000","₦55,300,000.00",55300000.0
698,"₦ 120,000,000/year",Asokoro Abuja,8,8 Units Of Flat,Apartment,Asokoro,"₦ 120,000,000","₦120,000,000.00",120000000.0
699,"₦ 14,500,000/year",Wuse 2 Abuja,58,Office Space Measuring 58sqm,,Wuse,"₦ 14,500,000","₦14,500,000.00",14500000.0
700,"₦ 30,000,000/year",Wuse 2 Abuja,100,100sqm Ground Floor Space,,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
701,"$ 200,000/year",Maitama Abuja,6,"And Duplex , 4 Bqs",Duplex,Maitama,"$ 200,000","₦270,994,000.00",270994000.0
703,"₦ 19,500,000/year",Wuse 2 Abuja,78,Office Space Measuring 78sqm,,Wuse,"₦ 19,500,000","₦19,500,000.00",19500000.0
704,"$ 60,000/year",Maitama Abuja,4,Furnished Terrace Duplex With Bq,Duplex,Maitama,"$ 60,000","₦81,298,200.00",81298200.0
705,"₦ 11,000,000/year",Wuse 2 Abuja,60,60sqm Showroom Space,Apartment,Wuse,"₦ 11,000,000","₦11,000,000.00",11000000.0
706,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq,Duplex,Wuse,"₦ 35,000,000","₦35,000,000.00",35000000.0
707,"₦ 26,000,000/year",Maitama Abuja,2,Serviced Apartment,Apartment,Maitama,"₦ 26,000,000","₦26,000,000.00",26000000.0
708,"₦ 7,500,000/year",Apo Dutse Abuja,3,Duplex,Duplex,Apo,"₦ 7,500,000","₦7,500,000.00",7500000.0
709,"₦ 1,200,000/year",Area 2 Garki 1 Abuja,,A Room Self Contained,Apartment,Garki,"₦ 1,200,000","₦1,200,000.00",1200000.0
711,"₦ 12,000,000/year","Gilmore, Jahi Abuja",3,Newly Built Apartment With Bq,Apartment,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
712,"₦ 20,000,000/year",Wuye Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Wuye,"₦ 20,000,000","₦20,000,000.00",20000000.0
715,"₦ 18,000,000/year","Gilmore, Jahi Abuja",4,Semi Detached Duplex With Bq,Duplex,Jahi,"₦ 18,000,000","₦18,000,000.00",18000000.0
717,"₦ 11,000,000/year","Gilmore, Jahi Abuja",2,Newly Built Penthouse,Duplex,Jahi,"₦ 11,000,000","₦11,000,000.00",11000000.0
719,"₦ 9,000,000/year",Gwarinpa Abuja,3,New Detached Duplex With Bq,Duplex,Gwarinpa,"₦ 9,000,000","₦9,000,000.00",9000000.0
720,"₦ 4,000,000/year","River Park Estate, Lugbe Abuja",2,Newly Built Apartment,Apartment,Lugbe,"₦ 4,000,000","₦4,000,000.00",4000000.0
721,"₦ 6,000,000/year",Katampe Main Abuja,2,Newly Built Flat,Apartment,Katampe,"₦ 6,000,000","₦6,000,000.00",6000000.0
725,"₦ 30,000,000/year",Wuye Abuja,5,Newly Built Terraced Duplex With Bq,Duplex,Wuye,"₦ 30,000,000","₦30,000,000.00",30000000.0
726,"₦ 9,000,000/year","Gilmore, Jahi Abuja",3,Apartment With Bq & Ac's,Apartment,Jahi,"₦ 9,000,000","₦9,000,000.00",9000000.0
728,"₦ 15,000,000/year",Wuye Abuja,4,Terraced Duplex With Bq,Duplex,Wuye,"₦ 15,000,000","₦15,000,000.00",15000000.0
730,"₦ 1,500,000","1st Avenue, Gwarinpa, Abuja Gwarinpa Abuja",,Shop For Rent,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
731,"₦ 7,000,000/year",Ahmadu Bello Way Gwarinpa Abuja,3,Newly Built Terrace With A Bq,Duplex,Gwarinpa,"₦ 7,000,000","₦7,000,000.00",7000000.0
733,"₦ 10,000,000/year",Off 3rd Avenue Gwarinpa Abuja,3,Furnished Terrace Attached Bq,Duplex,Gwarinpa,"₦ 10,000,000","₦10,000,000.00",10000000.0
734,"₦ 7,000,000/year",Ahmadu Bello Way Gwarinpa Abuja,3,Penthouse With A Bq,Duplex,Gwarinpa,"₦ 7,000,000","₦7,000,000.00",7000000.0
735,"₦ 70,000,000/year",Maitama Abuja,5,Fully Detached Duplex,Duplex,Maitama,"₦ 70,000,000","₦70,000,000.00",70000000.0
736,"₦ 25,000,000/year","Asokoro , Abuja . Asokoro Abuja",4,Duplex,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
737,"₦ 10,000,000/year","Babagana Kingibi Street, Guzape Abuja",3,Newly Built Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
738,"₦ 6,000,000/year","Utaco, Abuja . Utako Abuja",2,Flat,Apartment,Utako,"₦ 6,000,000","₦6,000,000.00",6000000.0
739,"₦ 23,000,000/year",Maitama Abuja,4,Newly Built Terrace Duplex,Duplex,Maitama,"₦ 23,000,000","₦23,000,000.00",23000000.0
740,"₦ 6,000,000/year",Jabi Abuja,2,Standard Flat,Apartment,Jabi,"₦ 6,000,000","₦6,000,000.00",6000000.0
741,"₦ 10,000,000/year",Guzape Abuja,6,6 Units Of Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
742,"₦ 15,000,000/year",Maitama Abuja,4,Semi Detached Duplex,Duplex,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
743,"₦ 10,000,000/year",Life Camp Abuja,3,Duplex,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
745,"₦ 40,000,000/year",Wuse 2 Abuja,4,Terrace & 1bq Duplex For Rent At Wuse 2,Duplex,Wuse,"₦ 40,000,000","₦40,000,000.00",40000000.0
746,"₦ 15,000,000/year",Lugbe Abuja,5,Flat,Apartment,Lugbe,"₦ 15,000,000","₦15,000,000.00",15000000.0
747,"₦ 25,000,000/year",Life Camp Abuja,4,Semi Detached Duplex,Duplex,Life Camp,"₦ 25,000,000","₦25,000,000.00",25000000.0
748,"₦ 15,000,000/year",Gwarinpa Abuja,4,Semi Detached House At Gwarimpa For Rent,,Gwarinpa,"₦ 15,000,000","₦15,000,000.00",15000000.0
749,"₦ 10,000,000/year",Lugbe Abuja,4,Semidetached Duplex For Rent At Lugbe,Duplex,Lugbe,"₦ 10,000,000","₦10,000,000.00",10000000.0
750,"₦ 20,000,000",Life Camp Abuja,4,Fully Detached Duplex For Rent At Lifecamp,Duplex,Life Camp,"₦ 20,000,000","₦20,000,000.00",20000000.0
751,"₦ 6,000,000/year",Life Camp Abuja,2,Apartment For Rent At Lifecamp,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
752,"₦ 15,000,000/year",Guzape Abuja,4,Flat,Apartment,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
754,"₦ 18,000,000/year",Jahi Abuja,4,& 1bq Terrace For Rent At Jahi Gilmore,Duplex,Jahi,"₦ 18,000,000","₦18,000,000.00",18000000.0
755,"₦ 15,000,000/year",Wuye Abuja,4,Terrace Duplex & 1bq,Duplex,Wuye,"₦ 15,000,000","₦15,000,000.00",15000000.0
756,"₦ 25,000,000/year",Katampe Abuja,4,Terraced Duplex With 1 Bq,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
